time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,4423000,1050000,2138000,1080000,105000,5070000,125000,0,5000,11000,65000,63000,2116000,3931000,6047000,25000000,111.2,107.6,80.6,105.575,110.75,109.175,102.5366,111.0866,108.275
0.203,,4423000,1110000,1315000,630000,105000,4891000,125000,10000,656000,0,74000,63000,2192000,3387000,5579000,25000000,111.2,107.6,80.6,105.575,110.75,109.175,102.5366,111.0866,108.275
0.403,,4423000,1296000,1496000,853000,105000,4891000,246000,0,30000,4000,65000,63000,2149000,5135000,7284000,25000000,111.2,107.6,80.6,105.575,110.75,109.2866,102.5366,111.0866,108.275
0.603,,4456000,1184000,2043000,1134000,105000,4891000,246000,0,30000,4000,65000,63000,2172000,3841000,6013000,25000000,111.2,107.6,80.6,105.575,110.75,109.2866,102.5366,111.0866,108.275
0.803,,4456000,1265000,1995000,711000,2864000,5130000,229000,0,30000,4000,68000,63000,2137000,4883000,7020000,25000000,111.2,107.6,80.6,105.575,110.75,109.2866,102.5366,111.0866,108.275
1.003,,4456000,1110000,1758000,670000,350000,5130000,229000,0,5000,11000,68000,63000,2125000,4470000,6595000,25000000,111.2,107.6,80.6,105.575,110.75,109.2866,102.5366,111.0866,108.275
1.203,,4435000,1287000,1315000,686000,3234000,5130000,229000,0,5000,4000,68000,63000,2204000,3915000,6119000,25000000,111.2,108.05,80.6,105.575,110.75,109.2866,102.5366,111.0866,108.275
1.404,,4435000,1184000,1971000,670000,2174000,5150000,199000,0,5000,11000,68000,63000,2137000,4058000,6195000,25000000,111.2,108.05,80.6,105.6866,110.8616,109.2866,102.65,111.0866,108.3866
1.602,,4435000,1154000,1710000,813000,105000,5150000,199000,0,5000,4000,68000,63000,2154000,3473000,5627000,25000000,111.2,108.05,80.6,105.6866,110.8616,109.2866,102.65,111.0866,108.3866
