time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,5420000,1140000,1649000,731000,105000,6232000,79000,32000,11000,159000,81000,65000,2537000,3937000,6474000,25000000,118.4,114.8,91.4,112.775,117.05,115.1366,110.4116,118.0616,115.25
0.204,,5420000,1408000,2138000,1078000,5465000,6232000,10000,32000,11000,159000,68000,65000,2367000,4247000,6614000,25000000,118.4,114.8,91.4,112.775,117.05,115.1366,110.4116,118.0616,115.25
0.402,,5365000,1198000,1710000,751000,105000,6263000,20000,32000,11000,214000,68000,65000,2360000,3296000,5656000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.1366,110.4116,118.175,115.25
0.602,,5365000,1309000,1378000,740000,105000,6263000,10000,32000,11000,214000,68000,65000,2366000,3271000,5637000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.1366,110.4116,118.175,115.25
0.802,,5365000,914000,2194000,670000,105000,6263000,20000,32000,11000,214000,68000,65000,2330000,3158000,5488000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.1366,110.4116,118.175,115.25
1.003,,5350000,757000,1179000,670000,105000,6190000,20000,76000,7000,219000,72000,65000,2516000,3169000,5685000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.1366,110.4116,118.175,115.25
1.203,,5350000,1287000,1971000,731000,105000,6190000,20000,32000,11000,219000,68000,65000,2321000,4082000,6403000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.1366,110.4116,118.175,115.25
1.403,,5350000,1531000,1948000,660000,105000,6190000,20000,32000,7000,219000,70000,65000,2395000,3550000,5945000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.25,110.4116,118.2866,115.3616
1.603,,4935000,1376000,2375000,589000,105000,5751000,20000,32000,11000,228000,68000,65000,2362000,3060000,5422000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.25,110.4116,118.2866,115.3616
1.803,,4935000,928000,2731000,647000,105000,5751000,20000,32000,7000,228000,68000,65000,2357000,2862000,5219000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.25,110.4116,118.2866,115.3616
2.002,,4935000,757000,1378000,1670000,105000,5751000,10000,32000,11000,228000,68000,65000,2379000,4133000,6512000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.25,110.4116,118.2866,115.3616
2.202,,5084000,792000,1686000,670000,105000,5922000,20000,32000,11000,242000,68000,65000,2413000,3570000,5983000,25000000,118.4,114.8,91.4,112.8866,117.1616,115.25,110.4116,118.2866,115.3616
2.402,,5084000,813000,1781000,1008000,105000,5922000,10000,32000,7000,242000,68000,65000,2446000,3822000,6268000,25000000,118.4,114.8,91.4,112.8866,117.275,115.25,110.4116,118.2866,115.3616
