time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,4987000,1073000,1496000,847000,5180000,5827000,20000,14000,11000,117000,68000,68000,2361000,3839000,6200000,25000000,118.4,114.8,92.66,112.2116,117.275,115.25,110.8616,118.0616,114.8
0.204,,4987000,1073000,1686000,726000,105000,5827000,20000,14000,11000,117000,86000,68000,2421000,4676000,7097000,25000000,118.4,114.8,92.66,112.2116,117.275,115.25,110.8616,118.0616,114.8
0.404,,4886000,872000,1449000,800000,105000,5827000,20000,32000,11000,236000,68000,68000,2359000,4382000,6741000,25000000,118.4,114.8,92.66,112.2116,117.275,115.25,110.8616,118.0616,114.8
0.604,,4886000,956000,1578000,920000,5667000,5647000,20000,32000,11000,236000,68000,68000,2360000,4012000,6372000,25000000,118.4,114.8,92.66,112.2116,117.275,115.25,110.8616,118.0616,114.8
0.805,,4886000,949000,1458000,920000,5099000,5647000,20000,645000,4000,236000,86000,65000,2318000,3460000,5778000,25000000,118.4,114.8,92.66,112.325,117.275,115.1366,110.75,118.0616,114.8
1.005,,5026000,990000,1387000,589000,105000,5647000,20000,35000,14000,219000,68000,68000,2273000,3399000,5672000,25000000,118.4,114.8,92.66,112.325,117.275,115.1366,110.75,118.0616,114.8
1.204,,5026000,1487000,1259000,940000,105000,5878000,20000,78000,11000,219000,72000,68000,2357000,4234000,6591000,25000000,118.4,114.8,92.66,112.325,117.275,115.1366,110.75,118.0616,114.8
1.404,,5026000,948000,1179000,733000,105000,5878000,20000,35000,7000,219000,68000,65000,2189000,3717000,5906000,25000000,118.4,114.8,92.66,112.325,117.275,115.1366,110.75,118.0616,114.8
1.604,,4935000,978000,1339000,608000,105000,5878000,20000,32000,11000,220000,68000,65000,2199000,3237000,5436000,25000000,118.4,114.8,92.66,112.325,117.275,115.1366,110.75,118.0616,114.8
1.805,,4935000,1028000,1348000,1109000,105000,5745000,20000,32000,11000,220000,70000,65000,2200000,3057000,5257000,25000000,118.4,114.35,92.66,112.2116,117.275,115.1366,110.75,118.0616,114.8
2.004,,4935000,975000,1179000,630000,3128000,5745000,20000,14000,11000,220000,68000,65000,2227000,3364000,5591000,25000000,118.4,114.8,92.66,112.2116,117.275,115.1366,110.75,118.0616,114.8
2.204,,4670000,948000,1219000,630000,5505000,5745000,40000,11000,11000,224000,68000,65000,2216000,3422000,5638000,25000000,118.4,114.8,92.66,112.2116,117.275,115.1366,110.75,118.0616,114.8
