time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5240000,1620000,2233000,880000,712000,6061000,89000,14000,11000,246000,81000,68000,2647000,3575000,6222000,25000000,120.2,117.95,103.64,113.9,119.8616,117.275,112.6616,120.3116,116.7116
0.203,,5240000,1207000,1401000,1209000,105000,6061000,20000,78000,11000,246000,72000,68000,2610000,5052000,7662000,25000000,120.2,118.4,103.64,113.9,119.8616,117.275,112.6616,120.3116,116.7116
0.403,,5240000,1251000,1639000,987000,105000,6061000,20000,35000,11000,246000,68000,68000,2541000,4781000,7322000,25000000,120.2,117.95,103.64,114.0116,119.8616,117.3866,112.55,120.425,116.7116
0.602,,5197000,1273000,1306000,691000,105000,6061000,20000,35000,14000,239000,68000,68000,2568000,4434000,7002000,25000000,120.2,117.95,103.64,114.0116,119.8616,117.3866,112.55,120.425,116.7116
0.802,,5197000,1296000,1401000,1673000,105000,6083000,20000,35000,11000,239000,74000,68000,2672000,4886000,7558000,25000000,120.2,117.95,103.64,114.0116,119.8616,117.3866,112.55,120.425,116.7116
1.003,,5197000,1243000,1544000,771000,105000,6083000,20000,14000,11000,239000,68000,68000,2618000,4684000,7302000,25000000,120.2,117.95,103.64,114.0116,119.8616,117.3866,112.55,120.425,116.7116
1.203,,5295000,928000,1544000,766000,105000,6083000,20000,35000,4000,315000,68000,68000,2594000,4726000,7320000,25000000,120.2,117.95,103.64,114.0116,119.8616,117.3866,112.55,120.425,116.7116
1.402,,5295000,928000,1496000,1229000,105000,6117000,20000,35000,11000,315000,68000,68000,2624000,4833000,7457000,25000000,120.2,117.95,103.46,114.0116,119.8616,117.3866,112.55,120.425,116.7116
1.603,,5295000,1178000,1306000,1109000,105000,6117000,20000,640000,4000,315000,86000,68000,2417000,4265000,6682000,25000000,120.2,117.95,103.46,114.0116,119.8616,117.3866,112.55,120.425,116.7116
