time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5456000,1296000,1710000,711000,105000,6242000,79000,11000,14000,109000,81000,68000,2509000,2856000,5365000,25000000,120.2,116.15,88.88,113.1116,118.7366,116.825,111.3116,119.075,115.8116
0.204,,5456000,874000,1853000,670000,105000,6242000,20000,11000,11000,109000,68000,68000,2541000,3731000,6272000,25000000,120.2,116.15,88.88,113.1116,118.7366,116.825,111.3116,119.075,115.8116
0.404,,5243000,1330000,1315000,670000,105000,6242000,40000,11000,11000,226000,68000,68000,2516000,4136000,6652000,25000000,120.2,116.6,88.88,113.1116,118.7366,116.825,111.3116,119.075,115.8116
0.604,,5243000,1140000,1251000,833000,105000,6201000,20000,35000,11000,226000,70000,68000,2544000,3029000,5573000,25000000,120.2,116.15,88.88,113.1116,118.7366,116.825,111.3116,119.075,115.8116
0.804,,5408000,1058000,1698000,1451000,105000,6201000,20000,32000,11000,226000,68000,68000,2499000,4698000,7197000,25000000,120.2,116.15,88.88,113.1116,118.7366,116.825,111.3116,119.075,115.8116
1.003,,5408000,867000,1378000,706000,105000,5831000,20000,35000,11000,207000,68000,68000,2413000,4015000,6428000,25000000,120.2,116.15,88.88,113.225,118.85,117.05,111.3116,119.075,115.8116
1.203,,5408000,833000,1520000,2056000,105000,5831000,40000,14000,11000,207000,68000,68000,2400000,4464000,6864000,25000000,120.2,116.6,88.88,113.225,118.85,117.05,111.3116,119.075,115.8116
1.403,,4840000,757000,1544000,1270000,105000,5831000,30000,14000,11000,207000,70000,68000,2414000,7240000,9654000,25000000,120.2,116.15,88.88,113.225,118.85,117.05,111.3116,119.075,115.8116
1.604,,4840000,970000,1211000,686000,105000,5625000,20000,14000,11000,198000,72000,68000,2389000,3456000,5845000,25000000,120.2,116.6,88.88,113.225,118.85,117.05,111.3116,119.075,115.8116
1.804,,4840000,914000,2043000,1512000,105000,5625000,20000,14000,4000,198000,68000,68000,2405000,3809000,6214000,25000000,120.2,116.15,88.88,113.225,118.85,117.05,111.3116,119.075,115.8116
2.003,,5048000,853000,1324000,1798000,105000,5625000,40000,14000,11000,202000,70000,68000,2482000,8160000,10642000,25000000,120.2,116.15,88.88,113.225,118.9616,117.05,111.425,119.1866,115.925
