time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5774000,1073000,1520000,1169000,105000,6993000,0,5000,11000,146000,68000,65000,2477000,5785000,8262000,25000000,123.8,120.2,94.64,116.0366,121.325,119.1866,114.0116,122.3366,118.9616
0.204,,5768000,1251000,1853000,1391000,105000,6993000,0,5000,11000,194000,68000,68000,2504000,9458000,11962000,25000000,123.8,120.2,94.64,116.0366,121.325,119.1866,113.9,122.3366,118.9616
0.404,,5768000,1073000,1473000,867000,1968000,6993000,0,5000,4000,194000,68000,65000,2414000,5985000,8399000,25000000,123.8,120.2,94.64,116.0366,121.325,119.1866,113.9,122.3366,118.9616
0.603,,5768000,1050000,1411000,814000,2416000,6997000,0,5000,7000,234000,68000,65000,2408000,4249000,6657000,25000000,123.8,120.2,94.64,116.0366,121.325,119.1866,113.9,122.3366,118.9616
0.802,,5914000,1273000,1781000,1734000,838000,6997000,0,5000,50000,234000,72000,65000,2408000,4580000,6988000,25000000,123.8,120.2,94.64,116.0366,121.325,119.1866,113.9,122.3366,118.9616
1.003,,5914000,1118000,1378000,1156000,3311000,6997000,0,32000,4000,234000,68000,68000,2407000,5322000,7729000,25000000,123.8,120.2,94.64,116.0366,121.325,119.1866,113.9,122.3366,118.9616
1.203,,5914000,1050000,1378000,1056000,1173000,6990000,0,32000,4000,249000,68000,65000,2406000,5165000,7571000,25000000,123.8,120.2,94.64,115.925,121.325,119.1866,113.9,122.3366,118.85
1.402,,5917000,1265000,1520000,1242000,3331000,6990000,0,32000,4000,249000,68000,65000,2401000,5369000,7770000,25000000,123.8,120.2,94.64,115.925,121.325,119.1866,113.9,122.3366,118.85
1.603,,5917000,1309000,1530000,1035000,3392000,6990000,59000,5000,4000,249000,68000,68000,2411000,5329000,7740000,25000000,123.8,120.2,94.64,115.925,121.325,119.1866,113.9,122.3366,118.85
1.803,,5917000,1198000,1401000,731000,3474000,6930000,0,5000,4000,214000,68000,65000,2399000,4685000,7084000,25000000,123.8,120.2,94.64,115.925,121.325,119.1866,113.9,122.3366,118.85
2.003,,5877000,1243000,1639000,731000,775000,6930000,0,5000,7000,214000,68000,68000,2462000,9981000,12443000,25000000,123.8,120.2,94.64,115.925,121.325,119.1866,113.9,122.3366,118.85
2.203,,5877000,1309000,2589000,751000,5363000,6930000,0,5000,7000,214000,65000,68000,2436000,5596000,8032000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
2.403,,5877000,1243000,1663000,1199000,2620000,6917000,0,5000,4000,221000,68000,68000,2453000,10182000,12635000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
2.603,,5902000,1598000,1496000,1451000,147000,6917000,0,5000,7000,221000,72000,65000,2540000,4672000,7212000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
2.803,,5902000,1531000,1315000,1777000,754000,6917000,0,5000,7000,221000,68000,65000,2573000,7157000,9730000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
3.003,,6109000,1531000,1330000,1328000,105000,7245000,10000,78000,0,291000,68000,68000,2597000,4615000,7212000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
3.203,,6109000,1265000,1339000,1138000,2471000,7245000,0,32000,4000,291000,68000,65000,2574000,10654000,13228000,25000000,123.8,120.2,94.64,115.925,121.4366,119.1866,113.7866,122.3366,118.85
3.403,,6109000,1598000,1354000,1071000,105000,7245000,0,32000,4000,291000,68000,68000,2630000,4829000,7459000,25000000,123.8,120.2,94.64,115.925,121.4366,119.1866,113.7866,122.3366,118.85
3.602,,6253000,1398000,1378000,1734000,838000,7371000,0,32000,4000,212000,68000,68000,2444000,4337000,6781000,25000000,123.8,120.2,94.64,115.925,121.4366,119.1866,113.7866,122.3366,118.85
3.802,,6253000,1296000,1554000,1700000,838000,7371000,0,5000,11000,212000,65000,68000,2450000,4319000,6769000,25000000,123.8,120.2,94.64,115.925,121.4366,119.1866,113.7866,122.3366,118.85
4.002,,6253000,1243000,1520000,1774000,838000,7371000,0,5000,11000,212000,68000,68000,2424000,4258000,6682000,25000000,123.8,120.2,94.64,115.925,121.4366,119.1866,113.7866,122.3366,118.85
4.202,,6335000,1376000,1520000,1250000,796000,7563000,0,5000,4000,207000,68000,68000,2424000,4217000,6641000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
4.402,,6335000,1251000,1568000,1371000,5178000,7563000,0,5000,11000,207000,68000,68000,2404000,4145000,6549000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
4.602,,6335000,1207000,1387000,1300000,5444000,7565000,0,5000,4000,207000,68000,68000,2388000,3944000,6332000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
4.802,,6310000,1184000,1378000,1492000,5425000,7565000,0,5000,11000,201000,65000,68000,2384000,4047000,6431000,25000000,123.8,120.2,94.82,115.925,121.4366,119.1866,113.7866,122.3366,118.85
