time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5191000,1184000,1639000,1431000,104000,6059000,0,5000,7000,190000,70000,68000,2448000,5624000,8072000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,124.025,120.65
0.203,,5057000,1118000,1924000,863000,1954000,6059000,0,5000,11000,190000,70000,68000,2399000,4264000,6663000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,124.025,120.65
0.405,,5057000,1207000,1530000,863000,166000,6185000,0,5000,4000,190000,70000,68000,2445000,6526000,8971000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,124.025,120.65
0.604,,5057000,1028000,1387000,766000,499000,6185000,0,5000,4000,229000,70000,68000,2465000,5276000,7741000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,124.025,120.65
0.804,,5399000,1273000,1378000,833000,831000,6185000,0,5000,11000,229000,70000,68000,2456000,5649000,8105000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,124.025,120.65
1.003,,5399000,1050000,1473000,833000,831000,6340000,0,5000,7000,229000,70000,68000,2494000,5213000,7707000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.5366
1.204,,5399000,1184000,1330000,1331000,3266000,6340000,0,5000,4000,331000,70000,68000,2458000,5478000,7936000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.5366
1.405,,5585000,1273000,1387000,1242000,831000,6340000,0,5000,7000,331000,70000,68000,2467000,6075000,8542000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,123.9116,120.5366
1.604,,5585000,1176000,1315000,863000,3346000,6271000,0,5000,7000,288000,70000,68000,2488000,5307000,7795000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.5366
1.804,,5585000,1265000,1900000,1089000,2479000,6271000,0,5000,4000,288000,74000,68000,2544000,5308000,7852000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,123.9116,120.5366
2.003,,5600000,1353000,1758000,1593000,737000,6271000,10000,3000,4000,288000,68000,68000,2537000,4405000,6942000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
2.204,,5600000,1243000,1506000,820000,5241000,6298000,10000,3000,4000,291000,68000,68000,2434000,5754000,8188000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
2.404,,5600000,1287000,1354000,1089000,675000,6298000,10000,3000,7000,291000,70000,68000,2527000,4183000,6710000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
2.604,,5551000,1553000,1615000,772000,104000,6298000,20000,3000,4000,291000,68000,68000,2537000,4682000,7219000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
2.805,,5551000,1398000,1306000,1048000,737000,6369000,10000,662000,0,231000,74000,68000,2536000,5190000,7726000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
3.004,,5548000,1509000,1853000,1068000,104000,6369000,0,35000,4000,231000,70000,68000,2547000,4600000,7147000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
3.204,,5548000,1287000,1362000,1229000,737000,6384000,0,35000,0,231000,88000,68000,2616000,4488000,7104000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
3.403,,5548000,1287000,1805000,1351000,852000,6384000,0,35000,4000,208000,68000,68000,2518000,4281000,6799000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
3.603,,5582000,1273000,1615000,1371000,914000,6384000,0,35000,4000,208000,68000,68000,2441000,4075000,6516000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
3.803,,5582000,1251000,1626000,1371000,831000,6417000,0,35000,7000,208000,68000,68000,2439000,3654000,6093000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
4.003,,5582000,1198000,1506000,2258000,834000,6417000,0,35000,7000,216000,68000,68000,2421000,4412000,6833000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
4.203,,5600000,1363000,1948000,1471000,831000,6417000,0,5000,4000,216000,68000,68000,2471000,4404000,6875000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
4.403,,5600000,1287000,1829000,1512000,102000,6433000,0,5000,7000,216000,70000,68000,2418000,4363000,6781000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
4.603,,5600000,1376000,1793000,1310000,5321000,6433000,0,5000,4000,222000,70000,68000,2413000,3975000,6388000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
4.804,,5380000,1198000,1686000,1431000,5755000,6433000,0,5000,7000,222000,68000,68000,2404000,3950000,6354000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.025,123.9116,120.65
5.003,,5380000,1296000,1639000,1693000,102000,6431000,0,5000,4000,222000,70000,68000,2460000,4204000,6664000,25000000,123.8,122,98.96,117.5,123.125,121.1,115.1366,123.9116,120.5366
5.203,,5380000,1265000,1544000,1229000,102000,6431000,0,5000,7000,225000,68000,68000,2431000,3984000,6415000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.1366,123.9116,120.5366
5.404,,5521000,1287000,1473000,1391000,102000,6431000,0,5000,7000,225000,68000,68000,2425000,3602000,6027000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.1366,123.9116,120.5366
5.604,,5521000,1198000,1362000,1512000,102000,6393000,0,5000,4000,225000,68000,68000,2477000,3986000,6463000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.1366,123.9116,120.5366
5.804,,5521000,1176000,1758000,1219000,102000,6393000,0,5000,4000,199000,70000,68000,2442000,4525000,6967000,25000000,123.8,121.55,98.96,117.5,123.125,121.1,115.1366,123.9116,120.5366
6.003,,5557000,1140000,1544000,1270000,101000,6393000,0,5000,7000,199000,70000,68000,2551000,4888000,7439000,25000000,123.8,121.55,98.96,117.5,123.2366,120.9866,115.025,123.9116,120.5366
6.203,,5557000,1287000,1639000,1351000,102000,6269000,0,5000,4000,199000,70000,68000,2470000,4244000,6714000,25000000,123.8,121.55,98.96,117.5,123.2366,120.9866,115.025,123.9116,120.5366
6.403,,5557000,1176000,1378000,968000,102000,6269000,0,5000,4000,225000,68000,68000,2552000,7129000,9681000,25000000,123.8,122,98.96,117.5,123.2366,120.9866,115.025,123.9116,120.5366
6.604,,5594000,1386000,1544000,1270000,102000,6269000,0,5000,4000,225000,68000,68000,2535000,4794000,7329000,25000000,123.8,121.55,98.96,117.5,123.2366,120.9866,115.025,123.9116,120.5366
