time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5399000,874000,1339000,471000,5216000,6090000,69000,32000,14000,175000,86000,65000,2365000,4001000,6366000,25000000,116.6,112.55,86.54,110.3,115.475,113.45,108.1616,115.7,112.775
0.203,,5399000,914000,1686000,874000,105000,6117000,20000,11000,11000,175000,68000,65000,2351000,2908000,5259000,25000000,116.6,112.55,86.54,110.3,115.475,113.45,108.1616,115.7,112.775
0.404,,5432000,907000,1900000,955000,105000,6117000,20000,14000,11000,175000,72000,65000,2365000,3422000,5787000,25000000,116.6,112.55,86.54,110.3,115.475,113.45,108.1616,115.7,112.775
0.604,,5432000,968000,1829000,686000,105000,6117000,40000,14000,11000,208000,68000,68000,2326000,3028000,5354000,25000000,116.6,112.55,86.54,110.3,115.475,113.45,108.1616,115.7,112.775
0.804,,5432000,853000,2090000,1440000,105000,6134000,20000,11000,7000,208000,68000,68000,2316000,3128000,5444000,25000000,116.6,112.55,86.54,110.3,115.475,113.45,108.1616,115.7,112.775
1.004,,5444000,928000,1686000,726000,104000,6134000,40000,11000,11000,208000,68000,65000,2433000,3517000,5950000,25000000,116.6,112.55,86.54,110.4116,115.5866,113.675,108.1616,115.8116,112.8866
1.204,,5444000,853000,2090000,813000,105000,6134000,30000,14000,11000,264000,68000,65000,2437000,3090000,5527000,25000000,116.6,113,86.54,110.4116,115.5866,113.675,108.1616,115.8116,112.8866
1.403,,5444000,792000,1995000,625000,105000,6112000,40000,14000,11000,264000,68000,65000,2471000,3231000,5702000,25000000,116.6,113,86.54,110.4116,115.5866,113.675,108.1616,115.8116,112.8866
1.604,,5368000,798000,2114000,614000,105000,6112000,20000,14000,11000,264000,68000,65000,2479000,3415000,5894000,25000000,116.6,113,86.54,110.4116,115.5866,113.675,108.1616,115.8116,112.8866
1.804,,5368000,813000,2066000,691000,105000,6110000,20000,14000,14000,279000,68000,65000,2462000,2990000,5452000,25000000,116.6,113,86.54,110.4116,115.5866,113.675,108.1616,115.8116,112.8866
2.003,,5368000,798000,2114000,630000,105000,6110000,40000,14000,11000,279000,68000,65000,2389000,2969000,5358000,25000000,116.6,113,86.54,110.4116,115.7,113.7866,108.275,116.0366,113
2.204,,5304000,731000,1853000,920000,105000,6110000,30000,14000,11000,279000,68000,65000,2401000,3445000,5846000,25000000,116.6,112.55,86.54,110.4116,115.7,113.7866,108.275,116.0366,113
2.404,,5304000,813000,1995000,1820000,105000,5668000,20000,11000,11000,288000,68000,65000,2397000,3864000,6261000,25000000,116.6,113,86.54,110.4116,115.7,113.7866,108.275,116.0366,113
2.604,,5304000,839000,1948000,980000,105000,5668000,20000,11000,4000,288000,68000,65000,2288000,4053000,6341000,25000000,116.6,113,86.54,110.4116,115.7,113.7866,108.275,116.0366,113
2.804,,4822000,819000,1615000,605000,105000,5668000,20000,11000,11000,288000,68000,65000,2251000,3601000,5852000,25000000,116.6,112.55,86.54,110.4116,115.7,113.7866,108.275,116.0366,113
3.004,,4822000,798000,1984000,940000,105000,5451000,89000,410000,4000,270000,72000,65000,2262000,3363000,5625000,25000000,116.6,113,86.54,110.525,115.8116,113.9,108.275,116.15,113.1116
3.203,,4822000,853000,2280000,1089000,105000,5451000,40000,11000,11000,270000,68000,65000,2298000,3736000,6034000,25000000,116.6,113,86.54,110.525,115.8116,113.9,108.275,116.15,113.1116
3.404,,5023000,798000,2066000,1940000,147000,5451000,40000,14000,11000,270000,68000,65000,2377000,6074000,8451000,25000000,116.6,113,86.54,110.525,115.8116,113.9,108.275,116.15,113.1116
3.604,,5023000,813000,1544000,1260000,105000,5900000,30000,640000,4000,259000,86000,68000,2332000,5598000,7930000,25000000,116.6,113,86.54,110.525,115.8116,113.9,108.275,116.15,113.1116
3.804,,5023000,819000,2114000,1340000,105000,5900000,20000,32000,11000,259000,70000,65000,2395000,6037000,8432000,25000000,116.6,113,86.54,110.525,115.8116,113.9,108.275,116.15,113.1116
4.004,,5447000,751000,1781000,1440000,105000,5900000,20000,32000,11000,259000,70000,65000,2412000,7038000,9450000,25000000,116.6,113,86.54,110.6366,116.0366,114.0116,108.3866,116.15,113.225
4.203,,5447000,813000,1924000,1564000,573000,6128000,20000,32000,11000,191000,72000,65000,2399000,8560000,10959000,25000000,116.6,113,86.54,110.6366,116.0366,114.0116,108.3866,116.15,113.225
4.404,,5447000,751000,1900000,1100000,356000,6128000,30000,14000,11000,191000,68000,65000,2320000,8812000,11132000,25000000,116.6,113,86.54,110.6366,116.0366,114.0116,108.3866,116.15,113.225
4.603,,5438000,914000,1853000,806000,3291000,6128000,20000,32000,11000,216000,70000,68000,2282000,5326000,7608000,25000000,116.6,113,86.54,110.6366,116.0366,114.0116,108.3866,116.15,113.225
4.804,,5438000,833000,1758000,1500000,2416000,6119000,20000,32000,11000,216000,72000,68000,2279000,7646000,9925000,25000000,116.6,113.45,86.54,110.6366,116.0366,114.0116,108.3866,116.15,113.225
5.004,,5289000,853000,2114000,1220000,2661000,6119000,20000,32000,11000,216000,72000,65000,2270000,8023000,10293000,25000000,116.6,113.45,86.54,110.75,116.15,114.2366,108.5,116.2616,113.3366
5.204,,5289000,874000,1971000,1028000,1939000,6119000,20000,32000,11000,208000,74000,68000,2277000,5932000,8209000,25000000,116.6,113,86.54,110.75,116.15,114.2366,108.5,116.2616,113.3366
5.405,,5289000,914000,1900000,940000,1869000,6096000,40000,11000,11000,208000,72000,65000,2285000,5059000,7344000,25000000,116.6,113.45,86.54,110.75,116.15,114.2366,108.5,116.2616,113.3366
5.603,,5423000,914000,2127000,860000,5038000,6096000,20000,11000,11000,208000,70000,68000,2312000,3225000,5537000,25000000,116.6,113.45,86.54,110.75,116.15,114.2366,108.5,116.2616,113.3366
5.804,,5423000,914000,1615000,826000,4388000,6096000,20000,14000,11000,205000,74000,68000,2315000,3234000,5549000,25000000,116.6,113.45,86.54,110.75,116.15,114.2366,108.5,116.2616,113.3366
6.004,,5423000,914000,1829000,1060000,5383000,6068000,30000,14000,11000,205000,68000,68000,2355000,3400000,5755000,25000000,116.6,113.45,86.54,110.8616,116.2616,114.2366,108.5,116.4866,113.45
6.204,,5411000,874000,1948000,1220000,858000,6068000,20000,76000,7000,205000,74000,65000,2325000,3702000,6027000,25000000,116.6,113.45,86.54,110.8616,116.2616,114.2366,108.5,116.4866,113.45
6.404,,5411000,914000,1995000,934000,4875000,5935000,20000,32000,4000,195000,70000,68000,2315000,4064000,6379000,25000000,116.6,113.45,86.54,110.8616,116.2616,114.2366,108.5,116.4866,113.45
6.604,,5411000,914000,1686000,968000,2560000,5935000,20000,78000,11000,195000,74000,68000,2334000,3314000,5648000,25000000,116.6,113.45,86.54,110.8616,116.2616,114.2366,108.5,116.4866,113.45
6.805,,5456000,935000,1829000,620000,523000,5935000,20000,32000,4000,195000,68000,68000,2336000,4323000,6659000,25000000,116.6,113.45,86.54,110.8616,116.2616,114.2366,108.5,116.4866,113.45
7.004,,5456000,1008000,2066000,728000,105000,6037000,20000,32000,11000,226000,92000,68000,2293000,3494000,5787000,25000000,116.6,113.45,86.54,110.8616,116.375,114.35,108.6116,116.6,113.5616
7.204,,5456000,1129000,2161000,569000,147000,6037000,20000,32000,11000,226000,74000,68000,2286000,3915000,6201000,25000000,116.6,113.45,86.54,110.8616,116.375,114.35,108.6116,116.6,113.5616
7.405,,5484000,907000,1995000,573000,105000,6037000,20000,32000,11000,226000,70000,68000,2295000,5814000,8109000,25000000,116.6,113.45,86.54,110.8616,116.375,114.35,108.6116,116.6,113.5616
7.604,,5484000,975000,1971000,1021000,105000,6154000,20000,32000,14000,226000,70000,68000,2286000,3428000,5714000,25000000,116.6,113.45,86.54,110.8616,116.375,114.35,108.6116,116.6,113.5616
7.804,,5484000,1048000,1698000,860000,335000,6154000,20000,14000,11000,226000,68000,68000,2316000,3790000,6106000,25000000,116.6,113.45,86.54,110.8616,116.375,114.35,108.6116,116.6,113.5616
8.004,,5429000,1008000,1829000,664000,105000,6154000,30000,14000,11000,226000,68000,68000,2336000,3682000,6018000,25000000,116.6,113.45,86.54,110.975,116.4866,114.4616,108.725,116.6,113.675
8.205,,5429000,1129000,1354000,625000,105000,6125000,30000,14000,11000,198000,70000,68000,2292000,3873000,6165000,25000000,116.6,113.9,86.54,110.975,116.4866,114.4616,108.725,116.6,113.675
8.404,,5429000,874000,1924000,625000,105000,6125000,30000,14000,11000,198000,68000,68000,2358000,3737000,6095000,25000000,116.6,113.45,86.54,110.975,116.4866,114.4616,108.725,116.6,113.675
8.604,,5350000,874000,1781000,1041000,105000,6125000,40000,14000,11000,198000,68000,68000,2398000,4177000,6575000,25000000,116.6,113.45,86.54,110.975,116.4866,114.4616,108.725,116.6,113.675
8.803,,5350000,853000,1520000,1870000,105000,6021000,20000,11000,11000,207000,68000,68000,2347000,3566000,5913000,25000000,116.6,113.45,86.54,110.975,116.4866,114.4616,108.725,116.6,113.675
9.003,,5350000,853000,1829000,625000,105000,6021000,20000,78000,14000,207000,72000,68000,2399000,2697000,5096000,25000000,116.6,113.9,86.54,111.0866,116.6,114.575,108.725,116.825,113.675
9.204,,5301000,1076000,1829000,1113000,105000,6021000,20000,32000,11000,207000,68000,68000,2398000,3201000,5599000,25000000,116.6,113.9,86.54,111.0866,116.6,114.575,108.725,116.825,113.675
9.404,,5301000,914000,1663000,670000,105000,6010000,20000,32000,14000,260000,68000,68000,2408000,3422000,5830000,25000000,116.6,113.9,86.54,111.0866,116.6,114.575,108.725,116.825,113.675
9.604,,5243000,907000,1758000,874000,104000,6010000,20000,32000,11000,260000,72000,68000,2544000,2892000,5436000,25000000,116.6,113.9,86.54,111.0866,116.6,114.575,108.725,116.825,113.675
9.804,,5243000,867000,2209000,840000,105000,6010000,40000,14000,14000,200000,68000,68000,2523000,3802000,6325000,25000000,116.6,113.9,86.54,111.0866,116.6,114.575,108.725,116.825,113.675
10.004,,5243000,874000,1829000,906000,105000,5639000,20000,14000,11000,200000,72000,68000,2513000,3391000,5904000,25000000,116.6,113.9,86.54,111.2,116.825,114.8,108.8366,116.9366,113.7866
10.204,,4749000,853000,2066000,1048000,105000,5639000,30000,14000,11000,200000,72000,68000,2531000,3509000,6040000,25000000,116.6,113.9,86.54,111.2,116.825,114.8,108.8366,116.9366,113.7866
10.403,,4749000,757000,2066000,670000,105000,5639000,30000,14000,11000,214000,72000,68000,2545000,2806000,5351000,25000000,116.6,113.9,86.54,111.2,116.825,114.8,108.8366,116.9366,113.7866
10.603,,4749000,813000,2090000,706000,105000,5364000,20000,32000,11000,214000,68000,68000,2505000,4032000,6537000,25000000,116.6,114.35,86.54,111.2,116.825,114.8,108.8366,116.9366,113.7866
10.804,,5017000,792000,1900000,760000,105000,5364000,20000,32000,14000,214000,68000,68000,2505000,3288000,5793000,25000000,116.6,114.35,86.54,111.2,116.825,114.8,108.8366,116.9366,113.7866
11.003,,5017000,751000,1639000,860000,105000,5703000,20000,32000,11000,196000,68000,68000,2392000,4272000,6664000,25000000,116.6,113.9,86.72,111.3116,116.9366,114.9116,108.95,117.05,114.0116
11.204,,5017000,792000,1948000,776000,105000,5703000,20000,32000,11000,196000,68000,68000,2303000,4497000,6800000,25000000,116.6,113.9,86.72,111.3116,116.9366,114.9116,108.95,117.05,114.0116
11.404,,4859000,751000,1829000,670000,105000,5703000,30000,14000,11000,196000,68000,65000,2290000,4512000,6802000,25000000,116.6,113.9,86.72,111.3116,116.9366,114.9116,108.95,117.05,114.0116
11.604,,4859000,792000,2114000,593000,105000,5698000,20000,32000,11000,208000,68000,68000,2308000,3502000,5810000,25000000,116.6,113.9,86.72,111.3116,116.9366,114.9116,108.95,117.05,114.0116
11.803,,4859000,737000,1995000,1200000,105000,5698000,20000,32000,11000,208000,68000,65000,2439000,3235000,5674000,25000000,116.6,113.9,86.72,111.3116,116.9366,114.9116,108.95,117.05,114.0116
12.004,,5063000,751000,2423000,1089000,105000,5698000,20000,32000,14000,208000,72000,65000,2344000,4209000,6553000,25000000,118.4,113.9,86.54,111.425,117.05,115.025,108.95,117.05,114.125
12.204,,5063000,798000,2043000,1440000,105000,5953000,20000,32000,11000,190000,72000,65000,2432000,6918000,9350000,25000000,118.4,113.9,86.54,111.425,117.05,115.025,108.95,117.05,114.125
12.404,,5063000,833000,1781000,1976000,105000,5953000,30000,11000,11000,190000,74000,68000,2459000,5464000,7923000,25000000,118.4,113.9,86.54,111.425,117.05,115.025,108.95,117.05,114.125
