time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,5273000,1363000,1473000,1229000,105000,6263000,133000,0,35000,4000,68000,68000,2631000,3939000,6570000,25000000,123.8,122,91.4,116.6,122.45,120.3116,114.0116,123.125,119.75
0.203,,5273000,1664000,1339000,1935000,105000,6325000,200000,10000,667000,0,72000,68000,2746000,4437000,7183000,25000000,123.8,122.45,91.4,116.6,122.45,120.3116,114.0116,123.125,119.75
0.402,,5517000,1207000,1378000,2046000,105000,6325000,200000,0,35000,4000,68000,68000,2629000,4233000,6862000,25000000,123.8,122.45,91.4,116.6,122.5616,120.425,114.125,123.125,119.75
0.602,,5517000,1118000,1781000,1895000,105000,6325000,200000,0,35000,4000,68000,68000,2779000,4201000,6980000,25000000,123.8,122.45,91.4,116.6,122.5616,120.425,114.125,123.125,119.75
0.802,,5582000,1162000,1554000,1471000,105000,6426000,238000,0,35000,4000,68000,68000,2735000,7048000,9783000,25000000,123.8,122.45,91.4,116.6,122.5616,120.425,114.125,123.125,119.75
1.002,,5582000,1118000,1615000,1391000,105000,6426000,238000,0,35000,4000,70000,70000,2785000,6946000,9731000,25000000,123.8,123.8,91.4,116.6,122.5616,120.425,114.125,123.125,119.75
1.202,,5582000,1207000,1544000,1109000,105000,6632000,210000,0,32000,4000,70000,68000,2732000,7056000,9788000,25000000,123.8,124.25,91.4,116.6,122.5616,120.425,114.125,123.125,119.75
1.402,,5704000,1118000,1758000,1331000,105000,6632000,210000,0,5000,7000,70000,68000,2831000,7221000,10052000,25000000,123.8,124.25,91.4,116.7116,122.675,120.5366,114.2366,123.2366,119.8616
1.602,,5704000,1207000,1710000,1270000,105000,6632000,210000,0,5000,4000,68000,70000,2711000,6663000,9374000,25000000,123.8,124.7,91.4,116.7116,122.675,120.5366,114.2366,123.2366,119.8616
1.803,,5704000,1140000,1483000,1713000,105000,6477000,241000,0,5000,11000,70000,70000,2911000,8220000,11131000,25000000,123.8,124.7,91.4,116.7116,122.675,120.5366,114.2366,123.2366,119.8616
2.002,,5740000,1162000,1663000,1048000,105000,6477000,241000,0,5000,4000,70000,68000,2636000,6250000,8886000,25000000,123.8,124.7,91.4,116.7116,122.675,120.5366,114.2366,123.2366,119.8616
