time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.004,,5277000,1028000,1568000,1331000,105000,6096000,152000,10000,38000,4000,70000,70000,2485000,7801000,10286000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.6116,123.2366
0.204,,5158000,1050000,1710000,856000,105000,6096000,152000,10000,38000,4000,70000,70000,2373000,4920000,7293000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.6116,123.2366
0.404,,5158000,1028000,1686000,949000,858000,6096000,152000,10000,38000,11000,70000,70000,2365000,5673000,8038000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.6116,123.2366
0.604,,5158000,1028000,1354000,1413000,867000,6092000,238000,0,8000,7000,70000,70000,2394000,5896000,8290000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.6116,123.2366
0.805,,5142000,1028000,2066000,630000,147000,6092000,238000,0,8000,4000,70000,70000,2400000,5205000,7605000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.6116,123.2366
1.004,,5142000,1251000,1853000,604000,852000,6092000,238000,10000,84000,0,77000,70000,2394000,4984000,7378000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.6116,123.2366
1.203,,5142000,1140000,1544000,814000,105000,6112000,295000,10000,38000,7000,70000,70000,2358000,5778000,8136000,25000000,127.4,125.15,97.88,120.2,125.9366,123.575,118.4,126.6116,123.2366
1.404,,5295000,1140000,1568000,935000,880000,6112000,295000,10000,38000,4000,72000,72000,2396000,4857000,7253000,25000000,127.4,125.15,97.88,120.2,125.9366,123.575,118.4,126.725,123.2366
1.604,,5295000,1287000,1473000,1934000,838000,6112000,295000,10000,38000,4000,74000,72000,2409000,5001000,7410000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.725,123.2366
1.804,,5295000,1118000,2114000,751000,858000,6382000,636000,0,38000,4000,74000,70000,2397000,4947000,7344000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.725,123.2366
2.004,,5533000,1176000,1354000,820000,3372000,6382000,636000,10000,38000,4000,70000,72000,2403000,6264000,8667000,25000000,127.4,125.15,97.88,120.2,125.9366,123.575,118.4,126.725,123.2366
2.204,,5533000,1251000,1520000,1006000,398000,6269000,636000,10000,38000,4000,70000,70000,2390000,4404000,6794000,25000000,127.4,124.7,97.88,120.2,125.9366,123.575,118.4,126.725,123.2366
2.405,,5533000,1184000,1354000,746000,858000,6269000,602000,10000,38000,7000,70000,70000,2379000,4612000,6991000,25000000,127.4,124.7,97.88,120.2,126.05,123.6866,118.5116,126.725,123.2366
2.603,,5505000,1363000,1568000,856000,5261000,6269000,602000,0,8000,11000,72000,70000,2382000,5070000,7452000,25000000,127.4,124.7,97.88,120.2,126.05,123.6866,118.5116,126.725,123.2366
2.803,,5505000,1620000,1663000,1798000,769000,6305000,602000,0,8000,11000,70000,70000,2470000,9244000,11714000,25000000,127.4,124.7,97.88,120.2,126.05,123.6866,118.5116,126.725,123.2366
3.004,,5484000,1664000,1520000,2226000,775000,6305000,458000,0,8000,11000,70000,72000,2462000,8824000,11286000,25000000,127.4,124.7,97.88,120.2,126.05,123.6866,118.5116,126.725,123.2366
3.204,,5484000,1731000,1686000,1048000,499000,6305000,458000,0,8000,4000,74000,70000,2516000,5276000,7792000,25000000,127.4,124.7,97.88,120.2,126.05,123.6866,118.5116,126.725,123.2366
3.404,,5484000,1686000,1900000,927000,5383000,6353000,458000,0,8000,11000,72000,72000,2486000,8980000,11466000,25000000,127.4,124.7,97.88,120.3116,126.1616,123.6866,118.5116,126.725,123.2366
3.604,,5514000,1775000,2161000,1310000,105000,6353000,456000,0,8000,4000,70000,70000,2498000,4713000,7211000,25000000,127.4,124.7,97.88,120.3116,126.1616,123.6866,118.5116,126.725,123.2366
3.803,,5514000,1553000,1805000,1451000,105000,6353000,456000,0,8000,11000,70000,70000,2629000,4432000,7061000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.5116,126.725,123.2366
4.004,,5514000,1509000,1995000,1512000,105000,6344000,456000,0,8000,7000,70000,72000,2645000,5392000,8037000,25000000,127.4,124.7,97.88,120.3116,126.1616,123.6866,118.5116,126.725,123.2366
4.205,,5539000,1598000,1544000,2479000,105000,6344000,458000,0,8000,4000,72000,72000,2533000,4949000,7482000,25000000,127.4,125.15,97.88,120.3116,126.1616,123.6866,118.5116,126.725,123.2366
4.404,,5539000,1353000,1639000,1673000,104000,6344000,458000,0,8000,4000,70000,70000,2670000,4600000,7270000,25000000,127.4,125.15,97.88,120.3116,126.275,123.6866,118.5116,126.725,123.2366
4.604,,5539000,1251000,1449000,1199000,104000,6377000,464000,0,8000,4000,70000,70000,2580000,4715000,7295000,25000000,127.4,124.7,97.88,120.3116,126.275,123.6866,118.5116,126.725,123.2366
