time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.002,,5719000,1318000,1339000,751000,105000,6502000,130000,0,5000,11000,70000,65000,2623000,6802000,9425000,25000000,114.8,116.6,75.02,108.275,114.4616,112.55,105.4616,114.8,111.5366
0.203,,5719000,1296000,1330000,906000,105000,6502000,130000,0,5000,11000,70000,65000,2649000,6593000,9242000,25000000,114.8,117.05,75.02,108.275,114.4616,112.55,105.4616,114.8,111.5366
0.403,,5719000,1273000,1639000,1113000,105000,6283000,213000,0,5000,11000,70000,65000,2691000,7763000,10454000,25000000,116.6,117.05,75.2,108.3866,114.6866,112.775,105.575,114.9116,111.65
0.602,,5740000,1408000,1506000,731000,691000,6283000,213000,0,5000,11000,70000,65000,2677000,5782000,8459000,25000000,116.6,116.6,75.2,108.3866,114.6866,112.775,105.575,114.9116,111.65
0.802,,5740000,1452000,1496000,726000,3439000,6283000,213000,0,5000,11000,70000,65000,2703000,5815000,8518000,25000000,116.6,116.6,75.2,108.3866,114.6866,112.775,105.575,114.9116,111.65
1.003,,5740000,1430000,1259000,1120000,3480000,6484000,192000,0,5000,11000,70000,65000,2707000,5478000,8185000,25000000,116.6,117.05,75.2,108.3866,114.6866,112.775,105.575,114.9116,111.65
1.203,,5780000,1420000,1686000,1242000,105000,6484000,192000,0,5000,11000,70000,65000,2663000,8606000,11269000,25000000,116.6,117.05,75.2,108.3866,114.6866,112.775,105.575,114.9116,111.65
1.403,,5780000,1452000,1853000,1341000,3398000,6484000,192000,0,5000,4000,70000,65000,2649000,8966000,11615000,25000000,116.6,117.5,75.02,108.5,114.9116,113,105.575,115.1366,111.875
1.603,,5780000,1487000,1339000,1169000,3418000,6468000,249000,0,5000,11000,70000,65000,2659000,6183000,8842000,25000000,116.6,117.05,75.02,108.5,114.9116,113,105.575,115.1366,111.875
1.804,,5697000,1497000,1805000,863000,350000,6468000,249000,0,5000,11000,70000,65000,2644000,6401000,9045000,25000000,116.6,117.5,75.02,108.5,114.9116,113,105.575,115.1366,111.875
2.002,,5697000,1553000,1235000,766000,2313000,6468000,249000,0,30000,4000,70000,65000,2736000,6773000,9509000,25000000,116.6,117.5,75.02,108.5,114.9116,113,105.575,115.1366,111.875
2.203,,5697000,1420000,1710000,1134000,105000,6471000,193000,0,30000,7000,70000,65000,2657000,8693000,11350000,25000000,116.6,117.05,75.02,108.5,114.9116,113,105.575,115.1366,111.875
2.403,,5591000,1620000,1267000,1016000,1774000,6471000,193000,0,30000,4000,70000,68000,2659000,10348000,13007000,25000000,116.6,117.5,75.2,108.6116,115.1366,113.225,105.575,115.3616,112.1
2.603,,5591000,1376000,1362000,798000,168000,6471000,193000,0,30000,4000,70000,65000,2638000,9592000,12230000,25000000,116.6,117.5,75.2,108.6116,115.1366,113.225,105.575,115.3616,112.1
2.803,,5591000,1553000,1710000,2526000,1883000,6499000,191000,0,5000,7000,77000,68000,2653000,11429000,14082000,25000000,116.6,117.5,75.2,108.6116,115.1366,113.225,105.575,115.3616,112.1
3.003,,5722000,1420000,1330000,863000,2702000,6499000,191000,0,5000,4000,70000,65000,2762000,10836000,13598000,25000000,116.6,117.5,75.2,108.6116,115.1366,113.225,105.575,115.3616,112.1
3.204,,5722000,1408000,1674000,927000,105000,6499000,191000,0,32000,4000,70000,68000,2749000,8017000,10766000,25000000,116.6,117.5,75.2,108.6116,115.1366,113.225,105.575,115.3616,112.1
3.402,,5722000,1775000,1686000,1573000,2641000,6523000,189000,0,32000,4000,70000,65000,2755000,5315000,8070000,25000000,116.6,117.5,75.2,108.725,115.3616,113.3366,105.6866,115.5866,112.2116
3.602,,5765000,1642000,1401000,1403000,2763000,6523000,189000,0,32000,4000,70000,65000,2813000,6002000,8815000,25000000,116.6,117.95,75.2,108.725,115.3616,113.3366,105.6866,115.5866,112.2116
3.802,,5765000,2041000,1315000,1371000,2763000,6523000,189000,0,30000,4000,70000,65000,2793000,5838000,8631000,25000000,116.6,117.5,75.2,108.725,115.3616,113.3366,105.6866,115.5866,112.2116
4.002,,5780000,2152000,1781000,1169000,482000,6528000,188000,0,5000,11000,70000,65000,2926000,5428000,8354000,25000000,116.6,117.5,75.2,108.725,115.3616,113.3366,105.6866,115.5866,112.2116
4.202,,5780000,2379000,1805000,1680000,356000,6528000,188000,0,5000,4000,77000,68000,2903000,5205000,8108000,25000000,116.6,117.95,75.2,108.725,115.3616,113.3366,105.6866,115.5866,112.2116
4.403,,5780000,2063000,1924000,968000,105000,6482000,188000,0,5000,4000,70000,68000,2810000,6109000,8919000,25000000,116.6,117.5,75.2,108.8366,115.5866,113.5616,105.8,115.7,112.325
4.603,,5737000,2175000,1805000,1371000,105000,6482000,264000,0,5000,11000,70000,68000,2857000,5720000,8577000,25000000,116.6,117.95,75.2,108.8366,115.5866,113.5616,105.8,115.7,112.325
4.802,,5737000,1864000,1758000,968000,5626000,6482000,264000,0,5000,11000,70000,68000,2813000,5095000,7908000,25000000,116.6,117.95,75.2,108.8366,115.5866,113.5616,105.8,115.7,112.325
5.003,,5737000,1930000,1267000,968000,5505000,6307000,264000,0,5000,4000,70000,68000,2827000,5436000,8263000,25000000,116.6,117.95,75.2,108.8366,115.5866,113.5616,105.8,115.7,112.325
5.202,,5725000,2707000,1411000,1874000,105000,6307000,202000,0,5000,4000,70000,65000,2886000,4777000,7663000,25000000,116.6,117.95,75.2,108.8366,115.5866,113.5616,105.8,115.7,112.325
5.402,,5725000,2663000,1458000,1512000,105000,6307000,202000,0,5000,11000,70000,68000,2900000,5115000,8015000,25000000,116.6,117.95,75.2,109.0616,115.7,113.675,105.8,115.925,112.4366
5.602,,5725000,2352000,1330000,1600000,105000,6408000,191000,89000,76000,4000,74000,68000,2827000,4844000,7671000,25000000,116.6,117.95,75.2,109.0616,115.7,113.675,105.8,115.925,112.4366
