wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5249000,955000,1496000,1024000,312000,5975000,30000,11000,11000,135000,68000,65000,2552000,4425000,6977000,25000000,109.4,106.25,88.52,104.225,108.6116,106.925,102.425,109.0616,106.475
5249000,1207000,1924000,820000,105000,5975000,10000,30000,11000,135000,72000,63000,2473000,4351000,6824000,25000000,109.4,106.7,88.52,104.3366,108.95,107.2616,102.425,109.5116,106.8116
5417000,853000,2280000,948000,105000,5975000,20000,30000,11000,229000,81000,63000,2560000,3620000,6180000,25000000,109.4,106.7,88.52,104.3366,108.95,107.2616,102.425,109.5116,106.8116
5417000,1052000,2399000,1294000,105000,6119000,20000,30000,11000,229000,72000,63000,2610000,7433000,10043000,25000000,109.4,106.7,88.52,104.3366,108.95,107.2616,102.425,109.5116,106.8116
5417000,1016000,2288000,887000,105000,6119000,30000,14000,11000,277000,68000,63000,2526000,6337000,8863000,25000000,109.4,106.7,88.52,104.3366,108.95,107.2616,102.425,109.5116,106.8116
5417000,955000,1639000,731000,105000,6119000,30000,14000,11000,277000,68000,65000,2501000,3540000,6041000,25000000,109.4,107.15,88.52,104.3366,108.95,107.2616,102.425,109.5116,106.8116
5417000,853000,1995000,847000,105000,6130000,30000,14000,11000,277000,72000,63000,2457000,7667000,10124000,25000000,109.4,107.15,88.52,104.5616,109.2866,107.6,102.5366,109.7366,107.0366
5417000,757000,2572000,1320000,105000,6130000,20000,11000,11000,285000,68000,63000,2480000,6903000,9383000,25000000,109.4,106.7,88.52,104.5616,109.2866,107.6,102.5366,109.7366,107.0366
5389000,819000,2541000,1300000,825000,6130000,20000,11000,11000,285000,72000,63000,2475000,7871000,10346000,25000000,109.4,107.15,88.52,104.5616,109.2866,107.6,102.5366,109.7366,107.0366
5389000,833000,2636000,1331000,2252000,6132000,20000,14000,11000,285000,72000,63000,2454000,7778000,10232000,25000000,109.4,107.15,88.52,104.5616,109.2866,107.6,102.5366,109.7366,107.0366
5389000,914000,1758000,635000,105000,6132000,20000,14000,11000,294000,68000,65000,2468000,3246000,5714000,25000000,109.4,107.15,88.52,104.5616,109.2866,107.6,102.5366,109.7366,107.0366
5414000,839000,2233000,1754000,3439000,6101000,20000,14000,7000,294000,74000,63000,2416000,8034000,10450000,25000000,109.4,107.15,88.52,104.675,109.625,107.9366,102.65,109.9616,107.2616
5414000,949000,2731000,1270000,3331000,6101000,30000,14000,11000,294000,74000,65000,2389000,9656000,12045000,25000000,111.2,107.15,88.52,104.675,109.625,107.9366,102.65,109.9616,107.2616
5441000,751000,2029000,1351000,3337000,6101000,30000,11000,11000,284000,74000,63000,2380000,9309000,11689000,25000000,111.2,107.15,88.52,104.675,109.625,107.9366,102.65,109.9616,107.2616
5441000,860000,2755000,1250000,3372000,6074000,20000,11000,11000,284000,74000,63000,2369000,5910000,8279000,25000000,111.2,107.15,88.52,104.675,109.625,107.9366,102.65,109.9616,107.2616
5441000,853000,1520000,1632000,105000,6074000,30000,14000,4000,284000,72000,63000,2399000,7249000,9648000,25000000,111.2,107.15,88.52,104.675,109.625,107.9366,102.65,109.9616,107.2616
5417000,873000,2351000,1371000,3331000,6074000,30000,11000,11000,220000,68000,63000,2370000,7906000,10276000,25000000,111.2,107.15,88.52,104.7866,109.85,108.1616,102.65,110.3,107.4866
5417000,914000,2494000,1300000,5629000,6064000,30000,11000,11000,220000,74000,63000,2398000,3123000,5521000,25000000,111.2,107.6,88.52,104.7866,109.85,108.1616,102.65,110.3,107.4866
5417000,880000,2066000,948000,5200000,6064000,20000,14000,11000,220000,74000,65000,2446000,3953000,6399000,25000000,111.2,107.6,88.52,104.7866,109.85,108.1616,102.65,110.3,107.4866
5383000,874000,1924000,867000,4936000,6064000,10000,413000,4000,235000,74000,65000,2395000,4330000,6725000,25000000,111.2,107.6,88.52,104.7866,109.85,108.1616,102.65,110.3,107.4866
5383000,853000,1520000,1310000,1248000,5990000,30000,14000,11000,235000,68000,63000,2391000,8151000,10542000,25000000,111.2,107.6,88.52,104.7866,109.85,108.1616,102.65,110.3,107.4866
5383000,1178000,1948000,1331000,105000,5990000,40000,659000,11000,235000,97000,65000,2445000,4167000,6612000,25000000,111.2,107.6,88.52,104.9,110.075,108.275,102.7616,110.525,107.6
5200000,914000,2375000,1306000,5951000,5990000,10000,30000,11000,266000,70000,65000,2406000,4762000,7168000,25000000,111.2,107.6,88.52,104.9,110.075,108.275,102.7616,110.525,107.6
5200000,1076000,2684000,1976000,105000,5962000,10000,30000,11000,266000,70000,63000,2396000,4480000,6876000,25000000,111.2,107.6,88.52,104.9,110.075,108.275,102.7616,110.525,107.6
5200000,955000,1663000,1349000,105000,5962000,20000,30000,11000,266000,70000,65000,2456000,4271000,6727000,25000000,111.2,107.6,88.52,104.9,110.075,108.275,102.7616,110.525,107.6
5429000,935000,1520000,1636000,3337000,5962000,198000,678000,11000,283000,79000,63000,2460000,9571000,12031000,25000000,111.2,107.6,88.52,104.9,110.075,108.275,102.7616,110.525,107.6
