wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5432000,757000,2446000,1270000,105000,6086000,40000,11000,11000,159000,68000,63000,2485000,4857000,7342000,25000000,107.6,104,88.7,102.3116,106.25,104.675,100.9616,106.925,104.3366
5432000,894000,1805000,1089000,105000,6086000,40000,8000,14000,212000,68000,63000,2491000,8332000,10823000,25000000,107.6,104,88.88,102.425,106.5866,104.9,100.85,107.2616,104.675
5432000,1073000,1615000,1089000,2416000,6081000,40000,14000,11000,212000,72000,63000,2495000,10166000,12661000,25000000,107.6,104,88.88,102.425,106.5866,104.9,100.85,107.2616,104.675
5429000,757000,1853000,1008000,2477000,6081000,40000,11000,11000,212000,72000,63000,2452000,10174000,12626000,25000000,107.6,104,88.88,102.425,106.5866,104.9,100.85,107.2616,104.675
5429000,874000,1971000,1774000,1412000,6081000,30000,8000,7000,311000,68000,63000,2452000,9690000,12142000,25000000,107.6,104.45,88.88,102.425,106.5866,104.9,100.85,107.2616,104.675
5392000,874000,1568000,1774000,105000,6054000,30000,11000,11000,311000,86000,63000,2431000,5605000,8036000,25000000,107.6,104.45,88.88,102.425,106.5866,104.9,100.85,107.2616,104.675
5392000,874000,1710000,1854000,1238000,6054000,10000,30000,11000,311000,72000,63000,2470000,11201000,13671000,25000000,107.6,104.45,88.88,102.5366,106.925,105.2366,100.9616,107.6,104.9
5392000,813000,1639000,1199000,1835000,6054000,10000,30000,11000,321000,72000,63000,2503000,10669000,13172000,25000000,107.6,104.9,88.88,102.5366,106.925,105.2366,100.9616,107.6,104.9
5359000,853000,2494000,1008000,5342000,5979000,10000,30000,11000,321000,72000,63000,2478000,7338000,9816000,25000000,107.6,104.9,88.88,102.5366,106.925,105.2366,100.9616,107.6,104.9
5359000,819000,1710000,987000,5793000,5979000,20000,30000,11000,321000,72000,63000,2407000,4687000,7094000,25000000,107.6,104.9,88.88,102.5366,106.925,105.2366,100.9616,107.6,104.9
5359000,853000,1829000,1209000,3392000,5979000,30000,11000,11000,292000,72000,63000,2429000,6907000,9336000,25000000,107.6,104.9,88.88,102.5366,106.925,105.2366,100.9616,107.6,104.9
5252000,928000,1995000,1129000,2905000,5950000,20000,11000,11000,292000,70000,63000,2390000,4876000,7266000,25000000,107.6,104.9,88.88,102.7616,107.375,105.575,101.075,107.7116,105.125
5252000,914000,1853000,1315000,5606000,5950000,30000,14000,11000,292000,72000,63000,2484000,7530000,10014000,25000000,107.6,104.9,88.88,102.7616,107.375,105.575,101.075,107.7116,105.125
5252000,914000,1781000,867000,2286000,5950000,30000,14000,11000,267000,79000,63000,2423000,4597000,7020000,25000000,107.6,104.9,88.88,102.7616,107.375,105.575,101.075,107.7116,105.125
5444000,1229000,2114000,840000,4347000,6105000,20000,11000,11000,267000,70000,63000,2487000,4384000,6871000,25000000,107.6,104.9,88.88,102.7616,107.375,105.575,101.075,107.7116,105.125
5444000,1028000,1568000,1512000,4550000,6105000,20000,11000,11000,267000,72000,63000,2457000,4290000,6747000,25000000,107.6,104.9,88.88,102.7616,107.375,105.575,101.075,107.7116,105.125
5444000,853000,1520000,1552000,5931000,6105000,20000,14000,11000,253000,72000,63000,2450000,3805000,6255000,25000000,107.6,104.9,88.88,102.9866,107.7116,105.9116,101.1866,108.05,105.35
5414000,1056000,1663000,1331000,105000,6139000,20000,14000,11000,253000,70000,63000,2516000,4755000,7271000,25000000,107.6,104.9,88.88,102.9866,107.7116,105.9116,101.1866,108.05,105.35
5414000,955000,2090000,1777000,5931000,6139000,20000,11000,11000,253000,72000,63000,2422000,4553000,6975000,25000000,107.6,104.9,88.88,102.9866,107.7116,105.9116,101.1866,108.05,105.35
5414000,1065000,1663000,1006000,503000,6139000,30000,14000,11000,239000,68000,63000,2449000,5229000,7678000,25000000,109.4,104.9,88.88,102.9866,107.7116,105.9116,101.1866,108.05,105.35
5389000,1258000,1924000,999000,105000,6130000,30000,11000,11000,239000,68000,63000,2430000,4146000,6576000,25000000,109.4,105.35,88.88,102.9866,107.7116,105.9116,101.1866,108.05,105.35
5389000,1138000,1496000,1049000,105000,6130000,30000,14000,7000,239000,72000,63000,2422000,4657000,7079000,25000000,109.4,105.35,88.88,103.1,107.9366,106.1366,101.3,108.275,105.575
