wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
5011000,839000,1083000,1270000,105000,5668000,20000,11000,11000,115000,72000,65000,2437000,6369000,8806000,25000000,113,110.75,92.3,107.2616,112.775,111.2,104.675,113.3366,110.3
5011000,935000,1171000,985000,105000,5668000,30000,11000,11000,198000,68000,65000,2455000,3744000,6199000,25000000,113,110.3,92.3,107.2616,112.775,111.2,104.675,113.3366,110.3
4819000,874000,1251000,1774000,105000,5449000,30000,11000,11000,198000,74000,65000,2359000,5041000,7400000,25000000,113,110.75,92.3,107.375,113,111.425,104.7866,113.45,110.4116
4819000,1184000,1362000,2056000,105000,5449000,20000,14000,11000,198000,72000,65000,2418000,5995000,8413000,25000000,113,110.75,92.3,107.375,113,111.425,104.7866,113.45,110.4116
4819000,853000,1227000,2116000,503000,5654000,20000,11000,11000,210000,74000,65000,2372000,6924000,9296000,25000000,113,110.75,92.3,107.375,113,111.425,104.7866,113.45,110.4116
5014000,874000,1315000,847000,105000,5654000,20000,11000,11000,210000,74000,65000,2438000,6992000,9430000,25000000,113,110.75,92.3,107.375,113,111.425,104.7866,113.45,110.4116
5014000,798000,1267000,968000,763000,5654000,20000,11000,11000,210000,90000,65000,2386000,9194000,11580000,25000000,113,110.75,92.3,107.375,113,111.425,104.7866,113.45,110.4116
5014000,833000,1196000,1109000,2579000,5444000,10000,30000,7000,202000,74000,65000,2365000,8835000,11200000,25000000,113,110.75,92.3,107.4866,113.1116,111.5366,104.9,113.5616,110.6366
5026000,1140000,1251000,987000,2743000,5444000,10000,30000,11000,202000,72000,65000,2392000,9932000,12324000,25000000,113,110.75,92.3,107.4866,113.1116,111.5366,104.9,113.5616,110.6366
5026000,853000,1219000,1613000,3337000,5444000,20000,30000,4000,202000,74000,65000,2335000,6202000,8537000,25000000,113,110.75,92.3,107.4866,113.1116,111.5366,104.9,113.5616,110.6366
5026000,1140000,1315000,1331000,3398000,5650000,20000,11000,11000,230000,68000,65000,2312000,7201000,9513000,25000000,113,110.75,92.3,107.4866,113.1116,111.5366,104.9,113.5616,110.6366
4810000,1028000,1330000,1471000,3372000,5650000,20000,11000,11000,230000,68000,65000,2334000,7000000,9334000,25000000,113,110.75,92.3,107.4866,113.1116,111.5366,104.9,113.5616,110.6366
4810000,813000,1315000,1189000,3392000,5650000,20000,11000,4000,230000,74000,65000,2368000,9177000,11545000,25000000,113,110.75,92.3,107.6,113.225,111.65,105.0116,113.675,110.75
4810000,1207000,1204000,1089000,5711000,5659000,30000,14000,11000,246000,72000,65000,2402000,6224000,8626000,25000000,113,110.75,92.3,107.6,113.225,111.65,105.0116,113.675,110.75
5008000,1162000,1243000,1229000,3372000,5659000,20000,11000,4000,246000,74000,65000,2376000,8605000,10981000,25000000,113,110.75,92.3,107.6,113.225,111.65,105.0116,113.675,110.75
5008000,853000,1171000,1834000,3275000,5659000,20000,11000,11000,246000,68000,65000,2400000,6990000,9390000,25000000,113,111.2,92.3,107.6,113.225,111.65,105.0116,113.675,110.75
5008000,874000,1362000,1451000,3067000,5448000,20000,11000,11000,213000,74000,65000,2324000,3385000,5709000,25000000,113,110.75,92.3,107.6,113.225,111.65,105.0116,113.675,110.75
4807000,949000,1324000,1296000,5281000,5448000,20000,11000,7000,213000,74000,65000,2370000,3528000,5898000,25000000,114.8,110.75,92.3,107.7116,113.3366,111.7616,105.125,113.7866,110.8616
4807000,1251000,1306000,1109000,2330000,5448000,30000,11000,11000,213000,74000,65000,2421000,4392000,6813000,25000000,114.8,110.75,92.3,107.7116,113.3366,111.7616,105.125,113.7866,110.8616
4807000,1386000,1330000,3489000,105000,5668000,30000,11000,11000,197000,77000,65000,2455000,4999000,7454000,25000000,114.8,110.75,92.3,107.7116,113.3366,111.7616,105.125,113.7866,110.8616
5029000,1250000,1267000,1068000,105000,5668000,30000,11000,11000,197000,70000,65000,2305000,4332000,6637000,25000000,114.8,111.2,92.3,107.7116,113.3366,111.7616,105.125,113.7866,110.8616
5029000,1553000,1387000,1512000,105000,5668000,30000,11000,11000,304000,70000,65000,2409000,3308000,5717000,25000000,114.8,111.2,92.3,107.7116,113.3366,111.7616,105.125,113.7866,110.8616
5029000,1068000,1204000,987000,105000,5444000,20000,648000,4000,304000,92000,65000,2428000,3333000,5761000,25000000,114.8,110.75,92.3,107.825,113.45,111.875,105.2366,113.9,110.8616
4810000,1408000,1267000,1156000,105000,5444000,20000,30000,11000,304000,70000,65000,2438000,3511000,5949000,25000000,114.8,111.2,92.3,107.825,113.45,111.875,105.2366,113.9,110.8616
4810000,1273000,1243000,906000,105000,5444000,10000,30000,11000,229000,72000,65000,2375000,3287000,5662000,25000000,114.8,111.2,92.3,107.825,113.45,111.875,105.2366,113.9,110.8616
5014000,1273000,1196000,1068000,586000,5658000,20000,30000,11000,229000,68000,65000,2393000,3340000,5733000,25000000,114.8,111.2,92.3,107.825,113.45,111.875,105.2366,113.9,110.8616
5014000,1251000,1227000,1242000,712000,5658000,20000,11000,11000,229000,68000,65000,2372000,3149000,5521000,25000000,114.8,111.2,92.3,107.825,113.45,111.875,105.2366,113.9,110.8616
5014000,1363000,1227000,771000,105000,5444000,30000,11000,11000,282000,68000,65000,2429000,7092000,9521000,25000000,114.8,110.75,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
5017000,1386000,1339000,927000,105000,5444000,30000,11000,11000,282000,72000,65000,2423000,3551000,5974000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
5017000,874000,1339000,1359000,105000,5444000,20000,11000,11000,282000,70000,65000,2437000,2931000,5368000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
5017000,874000,1179000,696000,105000,5647000,30000,11000,11000,230000,70000,65000,2425000,3507000,5932000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
4816000,874000,1219000,948000,105000,5647000,30000,11000,11000,230000,68000,65000,2410000,7548000,9958000,25000000,114.8,111.2,92.48,107.9366,113.5616,111.9866,105.35,114.0116,111.0866
4816000,1162000,1339000,744000,105000,5647000,178000,662000,4000,230000,92000,65000,2476000,3840000,6316000,25000000,114.8,110.75,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
4816000,1207000,1339000,992000,356000,5661000,20000,32000,11000,206000,74000,65000,2556000,3581000,6137000,25000000,114.8,111.2,92.3,108.05,113.7866,112.1,105.4616,114.125,111.2
