wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
6268000,928000,1520000,757000,105000,7083000,20000,11000,11000,131000,68000,63000,2448000,3667000,6115000,25000000,109.4,105.35,89.24,103.55,107.825,106.1366,102.0866,108.5,105.8
6259000,968000,1449000,737000,105000,7083000,30000,11000,7000,131000,68000,63000,2451000,4116000,6567000,25000000,109.4,105.35,89.24,103.55,107.825,106.1366,102.0866,108.5,105.8
6259000,853000,1449000,1229000,105000,7083000,30000,11000,11000,131000,72000,63000,2432000,8142000,10574000,25000000,109.4,105.8,89.24,103.55,107.825,106.1366,102.0866,108.5,105.8
6259000,914000,1354000,867000,105000,7123000,30000,11000,11000,231000,68000,63000,2460000,8084000,10544000,25000000,109.4,105.8,89.24,103.55,107.825,106.1366,102.0866,108.5,105.8
6402000,792000,1387000,1272000,251000,7123000,20000,14000,11000,231000,74000,63000,2525000,3532000,6057000,25000000,109.4,105.8,89.24,103.55,107.825,106.1366,102.0866,108.5,105.8
6402000,874000,1378000,867000,105000,7123000,20000,11000,11000,231000,72000,63000,2501000,8555000,11056000,25000000,109.4,105.8,89.24,103.775,108.1616,106.475,102.2,108.8366,106.1366
6402000,757000,1362000,1229000,105000,7141000,30000,11000,11000,221000,72000,63000,2436000,6822000,9258000,25000000,109.4,105.8,89.24,103.775,108.1616,106.475,102.2,108.8366,106.1366
6417000,839000,1354000,1008000,105000,7141000,30000,14000,11000,221000,74000,63000,2455000,6880000,9335000,25000000,109.4,105.8,89.24,103.775,108.1616,106.475,102.2,108.8366,106.1366
6417000,757000,1520000,1089000,2477000,7141000,30000,11000,11000,221000,72000,63000,2509000,8819000,11328000,25000000,109.4,106.25,89.24,103.775,108.1616,106.475,102.2,108.8366,106.1366
6390000,833000,1496000,1423000,105000,6964000,20000,73000,11000,232000,72000,63000,2414000,4285000,6699000,25000000,109.4,106.25,89.24,103.775,108.1616,106.475,102.2,108.8366,106.1366
6390000,813000,1544000,1109000,2174000,6964000,30000,8000,11000,232000,72000,63000,2383000,9850000,12233000,25000000,109.4,106.25,89.24,104,108.5,106.8116,102.2,109.175,106.475
6390000,833000,1639000,1573000,3311000,6964000,30000,11000,4000,232000,74000,63000,2420000,10184000,12604000,25000000,109.4,106.25,89.24,104,108.5,106.8116,102.2,109.175,106.475
6356000,819000,1496000,1774000,3230000,7107000,30000,14000,11000,236000,74000,63000,2379000,9885000,12264000,25000000,109.4,106.25,89.24,104,108.5,106.8116,102.2,109.175,106.475
6356000,874000,1330000,968000,3331000,7107000,30000,8000,11000,236000,72000,63000,2365000,5960000,8325000,25000000,109.4,106.25,89.24,104,108.5,106.8116,102.2,109.175,106.475
6356000,819000,1496000,1068000,105000,7107000,40000,11000,11000,224000,88000,63000,2390000,5905000,8295000,25000000,109.4,106.25,89.24,104,108.5,106.8116,102.2,109.175,106.475
6393000,813000,1496000,1584000,4810000,7105000,20000,30000,11000,224000,74000,63000,2408000,4729000,7137000,25000000,109.4,106.7,89.24,104.1116,108.8366,107.0366,102.3116,109.4,106.5866
6393000,874000,1520000,1434000,5545000,7105000,20000,30000,11000,224000,81000,63000,2435000,4079000,6514000,25000000,109.4,106.7,89.24,104.1116,108.8366,107.0366,102.3116,109.4,106.5866
6393000,914000,1686000,1996000,2272000,7094000,10000,30000,11000,284000,81000,63000,2465000,4595000,7060000,25000000,109.4,106.7,89.24,104.1116,108.8366,107.0366,102.3116,109.4,106.5866
6426000,874000,1378000,1089000,105000,7094000,20000,30000,11000,284000,74000,63000,2470000,3706000,6176000,25000000,109.4,106.25,89.24,104.1116,108.8366,107.0366,102.3116,109.4,106.5866
6426000,1149000,1401000,1500000,3291000,7094000,20000,30000,11000,284000,74000,63000,2512000,3434000,5946000,25000000,109.4,106.7,89.24,104.1116,108.8366,107.0366,102.3116,109.4,106.5866
