time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,4968000,1363000,1306000,670000,1965000,5626000,20000,35000,11000,135000,70000,72000,2272000,3779000,6051000,25000000,120.2,117.05,79.88,116.375,119.3,118.0616,111.875,120.7616,118.0616
0.204,,4968000,1118000,1324000,1100000,833000,5626000,20000,35000,11000,100000,70000,72000,2252000,4840000,7092000,25000000,120.2,117.05,79.88,116.375,119.3,118.0616,111.875,120.7616,118.0616
0.404,,4932000,1309000,1227000,610000,1889000,5847000,20000,35000,11000,100000,70000,72000,2249000,3406000,5655000,25000000,120.2,117.05,79.88,116.375,119.3,118.0616,111.875,120.7616,118.0616
0.604,,4932000,1118000,2731000,820000,105000,5847000,20000,14000,11000,101000,70000,72000,2290000,4619000,6909000,25000000,120.2,117.05,79.88,116.375,119.3,118.0616,111.875,120.7616,118.0616
0.804,,4932000,1118000,1348000,1048000,4605000,5847000,40000,11000,11000,101000,70000,72000,2256000,6338000,8594000,25000000,120.2,117.05,79.88,116.375,119.3,118.0616,111.875,120.7616,118.0616
1.004,,4935000,1132000,1315000,691000,5444000,5862000,20000,14000,7000,101000,70000,72000,2221000,3276000,5497000,25000000,120.2,117.05,79.88,116.375,119.3,118.175,111.875,120.875,118.0616
1.205,,4935000,1207000,1568000,630000,335000,5862000,20000,14000,11000,288000,70000,72000,2221000,8786000,11007000,25000000,120.2,117.05,79.88,116.375,119.3,118.175,111.875,120.875,118.0616
1.404,,4935000,1420000,1354000,766000,5261000,5906000,40000,14000,11000,288000,70000,72000,2255000,3663000,5918000,25000000,120.2,117.05,79.88,116.375,119.3,118.175,111.875,120.875,118.0616
1.604,,5051000,1376000,2233000,1040000,105000,5906000,20000,78000,11000,288000,79000,72000,2220000,5363000,7583000,25000000,120.2,117.05,79.88,116.375,119.3,118.175,111.875,120.875,118.0616
1.805,,5051000,1162000,1306000,847000,3453000,5906000,20000,35000,11000,112000,74000,72000,2247000,3334000,5581000,25000000,120.2,117.05,79.88,116.375,119.3,118.175,111.875,120.875,118.0616
2.004,,5051000,874000,1306000,605000,335000,6128000,20000,35000,14000,112000,74000,72000,2209000,2880000,5089000,25000000,120.2,117.05,79.88,116.375,119.3,118.175,111.875,120.875,118.175
2.204,,5219000,928000,1243000,610000,838000,6128000,30000,35000,11000,112000,70000,72000,2140000,2939000,5079000,25000000,120.2,117.05,79.88,116.375,119.3,118.175,111.875,120.875,118.175
2.404,,5219000,928000,1473000,826000,105000,6128000,30000,81000,7000,143000,74000,72000,2129000,3061000,5190000,25000000,120.2,116.6,79.88,116.375,119.3,118.175,111.875,120.875,118.175
