time,events,wearable,soc,cvip,cpu,gpu,5v_sys,nvme_pwr1,nvme_pwr3,nvme_pwr2,wlan,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
0.003,,5316000,1068000,1219000,589000,356000,6216000,20000,653000,4000,128000,88000,72000,2324000,3676000,6000000,25000000,123.8,120.65,84.38,119.75,122.675,121.55,115.1366,124.1366,121.55
0.204,,5359000,1129000,1315000,670000,104000,6216000,20000,81000,11000,97000,70000,72000,2369000,3527000,5896000,25000000,123.8,120.65,84.38,119.75,122.675,121.55,115.1366,124.1366,121.55
0.404,,5359000,1101000,2114000,840000,4733000,6263000,10000,35000,7000,97000,88000,72000,2380000,3448000,5828000,25000000,123.8,121.1,84.38,119.75,122.675,121.55,115.1366,124.1366,121.55
0.604,,5359000,1189000,1259000,420000,105000,6263000,20000,35000,11000,98000,70000,72000,2366000,3076000,5442000,25000000,123.8,120.65,84.38,119.75,122.675,121.55,115.1366,124.1366,121.55
0.804,,5374000,990000,1348000,880000,105000,6263000,20000,35000,11000,98000,70000,72000,2468000,3699000,6167000,25000000,123.8,120.65,84.38,119.75,122.675,121.55,115.1366,124.1366,121.55
1.004,,5374000,935000,1496000,630000,105000,6274000,20000,35000,11000,98000,70000,72000,2428000,2969000,5397000,25000000,123.8,120.65,84.38,119.8616,122.675,121.6616,115.25,124.25,121.55
1.204,,5374000,955000,1259000,686000,105000,6274000,20000,81000,11000,96000,74000,72000,2448000,3542000,5990000,25000000,123.8,121.1,84.38,119.8616,122.675,121.6616,115.25,124.25,121.55
1.405,,5283000,853000,2233000,987000,2408000,6274000,10000,35000,11000,96000,74000,72000,2434000,3115000,5549000,25000000,123.8,120.65,84.38,119.8616,122.675,121.6616,115.25,124.25,121.55
1.603,,5283000,928000,1306000,893000,105000,6185000,10000,35000,7000,96000,68000,72000,2380000,3201000,5581000,25000000,123.8,120.65,84.38,119.8616,122.675,121.6616,115.25,124.25,121.55
1.804,,5283000,935000,1267000,1180000,105000,6185000,20000,35000,7000,87000,68000,72000,2290000,3164000,5454000,25000000,123.8,120.65,84.38,119.8616,122.675,121.6616,115.25,124.25,121.55
2.004,,5161000,1048000,1196000,686000,104000,6185000,139000,14000,11000,87000,68000,72000,2304000,3182000,5486000,25000000,123.8,120.65,84.38,119.8616,122.7866,121.775,115.25,124.3616,121.6616
2.204,,5161000,914000,1267000,1134000,105000,6037000,20000,14000,7000,87000,68000,72000,2271000,3037000,5308000,25000000,123.8,120.65,84.38,119.8616,122.7866,121.775,115.25,124.3616,121.6616
2.404,,5161000,914000,2233000,813000,3331000,6037000,20000,11000,11000,126000,68000,72000,2222000,3554000,5776000,25000000,123.8,120.2,84.38,119.8616,122.7866,121.775,115.25,124.3616,121.6616
2.604,,5164000,935000,1324000,691000,105000,5990000,30000,14000,11000,126000,68000,72000,2241000,2797000,5038000,25000000,123.8,120.65,84.38,119.8616,122.7866,121.775,115.25,124.3616,121.6616
2.804,,5164000,874000,1315000,610000,105000,5990000,30000,11000,11000,126000,68000,72000,2257000,2784000,5041000,25000000,123.8,120.65,84.38,119.8616,122.7866,121.775,115.25,124.3616,121.6616
3.004,,5164000,839000,1306000,589000,105000,5990000,30000,16000,11000,87000,68000,72000,2240000,3464000,5704000,25000000,123.8,120.65,84.56,119.8616,122.7866,121.775,115.25,124.25,121.6616
3.205,,5008000,948000,1306000,726000,105000,5628000,30000,14000,11000,87000,68000,72000,2226000,3090000,5316000,25000000,123.8,120.2,84.56,119.8616,122.7866,121.775,115.25,124.25,121.6616
3.403,,5008000,914000,1995000,1300000,670000,5628000,30000,14000,11000,87000,74000,72000,2107000,3112000,5219000,25000000,123.8,120.2,84.56,119.8616,122.7866,121.775,115.25,124.25,121.6616
3.604,,4743000,833000,1219000,670000,104000,5628000,30000,14000,11000,101000,68000,72000,2208000,3187000,5395000,25000000,123.8,120.2,84.56,119.8616,122.7866,121.775,115.25,124.25,121.6616
3.804,,4743000,792000,1179000,847000,105000,5787000,30000,14000,11000,101000,68000,72000,2249000,2672000,4921000,25000000,123.8,120.2,84.56,119.8616,122.7866,121.775,115.25,124.25,121.6616
4.003,,4743000,813000,1204000,670000,105000,5787000,30000,14000,11000,101000,68000,72000,2205000,3096000,5301000,25000000,123.8,120.2,84.38,119.8616,122.675,121.775,115.25,124.25,121.6616
4.204,,4923000,792000,1473000,691000,105000,5787000,20000,35000,11000,145000,68000,72000,2156000,3667000,5823000,25000000,123.8,120.2,84.38,119.8616,122.675,121.775,115.25,124.25,121.6616
4.404,,4923000,833000,1948000,1190000,778000,5851000,20000,35000,4000,145000,74000,72000,2076000,4167000,6243000,25000000,123.8,120.2,84.38,119.8616,122.675,121.775,115.25,124.25,121.6616
4.604,,4923000,792000,1243000,701000,105000,5851000,20000,35000,11000,145000,70000,72000,2149000,3301000,5450000,25000000,123.8,119.75,84.38,119.8616,122.675,121.775,115.25,124.25,121.6616
4.804,,4917000,751000,1219000,635000,105000,5851000,20000,35000,7000,131000,70000,72000,2167000,2753000,4920000,25000000,123.8,119.75,84.38,119.8616,122.675,121.775,115.25,124.25,121.6616
5.003,,4917000,860000,1615000,711000,105000,5849000,20000,11000,11000,131000,68000,72000,2117000,4560000,6677000,25000000,123.8,119.75,84.38,119.8616,122.675,121.775,115.25,124.1366,121.55
5.204,,4917000,839000,1339000,731000,105000,5849000,20000,81000,11000,131000,74000,72000,2122000,2929000,5051000,25000000,123.8,119.75,84.38,119.8616,122.675,121.775,115.25,124.1366,121.55
5.403,,4950000,813000,1449000,940000,105000,5849000,20000,35000,11000,198000,70000,72000,2162000,6704000,8866000,25000000,123.8,119.75,84.38,119.8616,122.675,121.775,115.25,124.1366,121.55
5.604,,4950000,813000,1267000,826000,105000,5833000,10000,35000,7000,198000,77000,72000,2161000,3359000,5520000,25000000,123.8,119.75,84.38,119.8616,122.675,121.775,115.25,124.1366,121.55
5.804,,4950000,819000,1204000,1220000,105000,5833000,10000,35000,11000,123000,68000,72000,2144000,3073000,5217000,25000000,123.8,119.75,84.38,119.8616,122.675,121.775,115.25,124.1366,121.55
6.003,,4758000,839000,1330000,1330000,105000,5833000,20000,14000,7000,123000,68000,72000,2189000,6253000,8442000,25000000,123.8,119.75,84.56,119.8616,122.5616,121.775,115.25,124.025,121.55
6.204,,4758000,853000,1315000,1220000,105000,5614000,30000,14000,11000,123000,68000,72000,2208000,3045000,5253000,25000000,123.8,119.75,84.56,119.8616,122.5616,121.775,115.25,124.025,121.55
6.404,,4758000,737000,1354000,1040000,105000,5614000,30000,11000,11000,104000,72000,72000,2201000,6820000,9021000,25000000,123.8,119.75,84.56,119.8616,122.5616,121.775,115.25,124.025,121.55
6.603,,4636000,813000,1243000,1340000,105000,5614000,30000,14000,11000,104000,74000,72000,2111000,6355000,8466000,25000000,123.8,119.75,84.56,119.8616,122.5616,121.775,115.25,124.025,121.55
6.804,,4636000,833000,1179000,1180000,2051000,5395000,20000,11000,11000,104000,74000,72000,2132000,3216000,5348000,25000000,123.8,119.3,84.56,119.8616,122.5616,121.775,115.25,124.025,121.55
7.004,,4636000,874000,1267000,1420000,975000,5395000,20000,11000,11000,274000,68000,72000,2142000,3696000,5838000,25000000,123.8,119.3,84.56,119.8616,122.5616,121.775,115.3616,124.025,121.55
7.204,,4801000,914000,1131000,1220000,1219000,5395000,20000,14000,11000,274000,70000,72000,2145000,3205000,5350000,25000000,123.8,119.3,84.56,119.8616,122.5616,121.775,115.3616,124.025,121.55
7.404,,4801000,757000,1275000,1220000,105000,5667000,30000,14000,7000,274000,70000,72000,2287000,3841000,6128000,25000000,123.8,119.3,84.56,119.8616,122.5616,121.775,115.3616,124.025,121.55
